A-01,中小企業制度融資,島根県商工労働部中小企業課 金融グループ<br />TEL 0852-22-5883<br />FAX 0852-22-5781,中小企業の円滑な資金繰りのために,中小企業の施設・設備の近代化、経営の合理化等に必要な資金の融資を、金融機関の協調を得て行います。 申込先商工会議所、商工会、島根県中小企業団体中央会、島根県商工会連合会、しまね産業振興財団 取扱金融機関普通銀行、商工中金、信用金庫、信用組合、農協、JFしまね一般設備資金 施設・設備の改善を行う者一般設備資金 運転資金を必要とする者小規模企業特別資金 保証協会保証付融資残高と新規申込額との合計が 1250万円以内となる小規模企業者で施設設備の改善又は運転資金を必要とする者小規模企業育成資金 小規模企業者で、施設設備の改善又は運転資金を必要とする者（融資限度額は小規模企業特別資金との合計による）創業者支援資金 新たに事業を行う者（計画段階～開始後５年未満）再生支援資金 再生の見込みがあり、商工会議所又は商工会連合会の商工調停士の推薦を受けている者経営革新支援資金 特別の法律に基づく事業等新たな事業に取り組む者人にやさしい環境整備支援資金 従業員の労働環境の整備のため事業を実施する者、しまね子育て応援企業の認定を受けた者等、人にやさしい環境整備に取り組む者買物の場整備支援資金 地域の買物の場の整備に取り組む者おもてなし処整備支援資金 地域の観光振興に資する事業（市町村長の推薦が必要）に取り組む者収益体質強化資金 収益体質強化計画を策定し、設備投資を行うことにより収益体質の強化に取り組む者経営改善長期借換資金 商工会議所等の指導機関の指導を受け、経営改善計画を作成した者経営力強化支援資金 認定経営革新等支援機関の支援を受け経営改善計画を作成した者海外展開支援資金 事業の海外展開を実施・検討する者円安等対策資金 最近３か月の売上高等が前年と比較して３％以上減少している者経営改善サポート資金 経営サポート会議等の支援により作成した経営改善・再生計画を実行する者セーフティネット資金 取引先企業の倒産や事業活動の制限等により経営の安定に支障を来している者 中小企業信用保険法第２条第５項各号のいずれかに該当し、経営の安定に支障が生じている者災害復旧資金 災害により直接的又は間接的な被害を受けた者災害対策特別資金 大規模災害発生時に早急な金融対策が必要と知事が認めた者経済変動等資金 その都度知事が定める
A-02,中小企業育成振興資金,島根県商工労働部中小企業課 金融グループ<br />TEL 0852-22-5882<br />FAX 0852-22-5781,中小企業の成長を支援します,中小企業の事業所の新設、新たな市場等での事業展開や経営資産の承継を通した成長を支援するため、必要な資金を金融機関の協調を得て融資します。 申込先商工会議所、商工会、島根県中小企業団体中央会、島根県商工会連合会、しまね産業振興財団 取扱金融機関普通銀行、商工中金、信用金庫、信用組合、農協、JFしまね 融資利率（年％）1.00％（責任共有の場合は1.15％）事業所新設等資金 県内で１年以上同一業種を営む中小企業者で、事業所の新設等を行う者 ・投下固定資本5000万円以上（ソフト産業等3000万円以上） ・新規雇用３人以上（操業後１年以内）成長企業応援資金 県内で１年以上同一業種を営む中小企業者で、成長を図ろうとするもの（新たな市場等での事業展開などであって、先進性又は革新性が高いと認められること等が必要）経営資産承継資金 県内において事業を営む会社又は個人の事業用資産を取得する中小企業者（原則として、従業員1/2以上の再雇用が必要）
A-03,島根県環境資金,島根県商工労働部中小企業課 金融グループ<br />TEL 0852-22-5883<br />FAX 0852-22-5781 ,環境に資する施設・設備の設置・改善のために,企業が環境への負荷の低減のための施設・設備の設置、改善等を行う場合に必要な資金を、金融機関の協調を得て融資します。 申込先商工会議所、商工会、島根県中小企業団体中央会、島根県商工会連合会、しまね産業振興財団※中小企業者以外は取扱金融機関 取扱金融機関普通銀行、商工中金、信用金庫、信用組合、農協、JFしまね※県内に店舗を有する金融機関融資対象事業一覧公害防止 公害（大気汚染、水質汚濁、騒音、振動、悪臭、土壌汚染、地盤沈下等）を防止するために必要な施設・設備の設置又は改善に要する経費 産業廃棄物処理 産業廃棄物処理施設・設備の設置又は改善に要する経費再生利用 産業廃棄物の再生利用、再資源化のための施設・設備の設置又は改善に要する経費 省エネルギー 従来の設備よりも資源及びエネルギーの消費量を５％以上節減する設備の設置に要する経費（ＥＳＣＯ事業も対象）自然エネルギー 自然エネルギー（太陽光、太陽熱、風力、雪氷熱、バイオマス熱、水力、地熱、波力、海洋温度差等）利用施設・設備の設置又は改善に要する経費リサイクルエネルギー コージェネレーション（熱電供給システム）、廃棄物熱、廃棄物燃料、温度差エネルギー等を利用したリサイクルエネルギー利用施設・設備の設置又は改善に要する経費工場移転 製造業等を営む企業が、住居地域等から市町村長が工場立地の適地と認める区域へ工場の全面移転を行うのに必要な移転先の用地の取得及び移転先の施設・設備の設置に要する経費（土地のみの取得は対象外）PCB廃棄物処理等対策 PCB廃棄物の処理及び対象設備の買換に要する経費
A-04,信用保証,島根県信用保証協会本店<br />TEL 0852-22-2837<br />FAX 0852-22-3075<br />出雲支店<br />TEL 0853-21-4998<br />FAX 0853-21-4858<br />浜田支店<br />TEL 0855-22-0833<br />FAX 0855-22-3309<br />益田支店<br />TEL 0856-22-4567<br />FAX 0856-22-4568<br />ホームページ<br />URL http://www.shimane-cgc.or.jp/,金融機関借入の債務の保証のために,中小企業者の金融機関からの借入を円滑にするため、その債務を保証します。主な保証制度普通保証 一般的な事業資金が必要な方当座貸越根保証 反復継続的、安定的に資金を必要とされる方事業者カードローン根保証 カード等を用いて反復継続的に小口資金を必要とされる方小口追認保証【かなえ】 小口企業者であって、一般的な事業資金が早急に必要な方完全無担保無保証人創業者支援保証【あゆみ】 事業を開始して１年未満の個人及び法人の方経営力強化保証 認定経営革新等支援機関の支援を受け経営改善計画を作成された方事業再生計画実施関連保証（経営改善サポート保証） 中小企業再生支援協議会等の指導又は助言を受けて作成した事業再生の計画に従って事業再生に取り組む方特定社債保証（私募債） 一定の要件（適債基準）を備えた中小企業者が発行する社債（私募債）に対して行う保証流動資産担保融資保証（ABL保証） 売掛債権及び棚卸資産を担保とした借入について行う保証
A-05,国民生活事業融資制度,日本政策金融公庫松江支店（国民生活事業）<br />TEL 0852-23-2651<br />FAX 0852-24-4616<br />日本政策金融公庫 浜田支店（国民生活事業）<br />TEL 0855-22-2835<br />FAX  0855-22-7632<br />ホームページ<br />http://www.jfc.go.jp, ,中小企業の円滑な資金繰りのために国民生活事業融資制度〔公庫融資の特徴〕 ほとんどすべての業種の方にご利用いただけます。 新しく事業を始められる方のご相談も承っています。 ご融資に際しての担保（不動産、有価証券など）については、お客様のご希望に応じてご相談させていただきます。 長期のご返済で、お利息は固定金利です。
A-05,農林水産事業融資制度,日本政策金融公庫 松江支店 農林水産事業 農業食品課<br />TEL 0852-26-1133<br />FAX 0852-24-5334<br />フリーコール 0120-911691<br />ホームページ http://www.afc.jfc.go.jp/, ,食品加工業者、流通業者向けの資金農林水産事業融資制度国産の農林水産物を加工、販売しておられる中小企業者（※）の皆様にご利用いただけます。○年利率は慨ね毎月変動いたしますので、下記までご照会ください。ご融資期間に応じた金利設定となっておりますが、ご契約後は固定金利となります。○制度により、行政庁の認定等が必要となる場合があります。特定農産加工資金 農畜産物の輸入自由化により影響を受ける農産加工業者の経営改善に必要な設備、特別の費用、権利の取得のための資金中山間地域活性化資金 中山間地域で生産される農林畜水産物の加工、流通合理化に必要な設備、特別の費用、権利の取得のための資金水産加工資金 下記の魚種を原材料とする水産加工品の製造に必要な設備、権利の取得等特別の費用のための資金○あきさけ、あじ、いかなご、いわし、かつお、かれい、さば、さんま、すけとうだら、たい、ぶり、ほっけ、まぐろ、まだら、いか、かき、ほたてがい、海藻類、たこ食品流通改善資金 食品生産製造提携事業施設資金 食品製造業者等と農林漁業者等の提携に基づく農林水産物の生産、加工食品の製造流通に必要な設備、農業生産法人等への出資のための資金食品生産販売提携事業施設資金 食品販売業者等と農林漁業者等の提携に基づく一連の物流施設（用地も含む）の構築のために必要な設備資金
A-05,中小企業事業融資制度,日本政策金融公庫 松江支店 中小企業事業<br />TEL 0852-21-0110<br />FAX 0852-21-6654<br />ホームページ http://www.jfc.go.jp/, ,中小企業の円滑な資金繰りのために中小企業事業融資制度新事業育成資金 新規性、成長性のある事業を始めて７年以内の方新事業活動促進資金 新しい事業分野の開拓を行う方企業活力強化資金 経営の近代化、合理化やものづくり基盤技術の高度化を進める方など海外展開・事業再編資金 海外展開や海外展開事業の再編を行う方地域活性化・雇用促進資金 一定の雇用創出効果が見込める設備投資を行う方、「企業立地計画」や「事業高度化計画」の承認を受けた方など経営環境変化対応資金 一時的な売上高の減少等業況が悪化している方、社会的要因による業況悪化により資金繰りに支障をきたしている方など
A-06,商工組合中央金庫の事業資金融資制度,株式会社商工組合中央金庫 松江支店<br />TEL 0852-23-3131<br />FAX 0852-27-1199<br />株式会社 商工組合中央金庫 浜田営業所<br />TEL 0855-23-3033<br />FAX 0855-22-2215<br />ホームページ http://www.shokochukin.co.jp,中小企業の円滑な資金繰りのために,組合貸 共同事業資金 転貸資金構成員貸商工中金の株式を保有している中小企業団体（下記参照）とその構成員。また、主として中小規模の事業者を構成員とする団体や、融資対象団体等の子会社（海外現地法人も含む）も貸付対象となります。◎商工中金株主団体 中小企業等協同組合 事業協同組合・事業協同小組合 信用協同組合・協同組合連合会 企業組合 協業組合・商工組合・同連合会 商店街振興組合・同連合会 生活衛生同業組合・同連合会 生活衛生同業小組合 酒造組合・同連合会・同中央会 酒販組合・同連合会・同中央会 内航海運組合・同連合会 輸出組合 輸入組合 市街地再開発組合セーフティネット支援、創業・新事業進出支援、ものづくり支援などの様々な融資制度を取り扱っております。
A-07,中小企業高度化資金貸付事業,島根県商工労働部中小企業課 金融グループ<br />TEL 0852-22-5882<br />FAX 0852-22-5781,中小企業の生産性の向上、経営基盤の強化のために,中小企業が共同して経営基盤の強化を図るために組合等を設立して工場団地、卸団地、ショッピングセンターなどを建設する事業や第三セクターまたは商工会等が地域の中小企業を支援する事業に対して、資金の一部を長期低利で融資します。（融資にあたっては、事業計画の診断等が必要ですので、早めにご相談下さい） 対象者 中小企業又は組合もしくは第三セクター、市町村など 主な貸付対象事業（中小企業者が行う事業）集団化事業 工場団地、工場アパート、卸団地、パティオ商業集積等、中小企業者が集団化して工場団地、卸売団地等の団地や共同施設を設置する事業集積区域整備事業 商業、製造業等が集積する区域において、中小企業者が店舗、工場等の施設を新設・改造したり、アーケード・駐車場等を設置する事業施設集約化事業 共同店舗、共同工場の設置等、中小企業者が施設を集約化し、経営の合理化を図る事業共同施設事業 共同物流施設、商店街のアーケード等、中小企業者が共同で利用する施設や共同で経営する施設を整備する事業設備リース事業 組合が新鋭設備を一括購入し、組合員に買取予約付きで賃貸する事業貸付条件貸付対象施設 貸付対象事業を実施（リニューアルを実施する場合を含む）するのに必要な土地、建物、構築物、設備貸付割合 原則として貸付対象施設の整備に要する額の80％以内貸付期間 20年以内（うち据置期間は３年以内）貸付金利 0.65％／年※中小企業の振興に係る関係法律の認定等を受けて実施する事業等については無利子
A-08,設備貸与事業,公益財団法人しまね産業振興財団 経営支援課 総合支援グループ<br />TEL 0852-60-5113<br />E-mail ty@joho-shimane.or.jp,設備を長期かつ低利、無担保で割賦販売します,対象者県内に事業所を有する従業員300名（卸・サービス業は100名、小売業は50名）以下の中小企業者、または県内で創業を目指す個人又は法人の方で具体的な事業計画をお持ちの方 事業内容中小企業者の経営基盤の強化・経営の革新及び公害の防止に必要な設備、創業者が事業を行うために必要な設備の導入を支援するため、設備を長期かつ低利で割賦販売します。 対象設備・経営基盤の強化を図るために新たに導入する設備・経営の革新のために新たに導入する設備・創業者が事業を行うために必要な設備・公害防止設備 利用金額100万円～１億円 金利1.9％（但し、中小企業新事業活動促進法等の承認計画に基づく設備導入の場合は1.75％。 返済期間７年以内＊公害防止設備は12年以内 契約保証金等設備価格の５％連帯保証人 原則１名以上（ただし、「経営者保証ガイドライン」により適宜、判断します。）
